NAME_E,area,ha
Creston Valley Wildlife Management Area,68997017.1059294,6899.7017105929435
Nang Xaldangaas Conservancy,68969999.9999653,6896.999999996534
Anstey Hunakwa Park,68551793.4281639,6855.179342816395
Butler Ridge Park,68452103.7515004,6845.210375150043
Klewnuggit Conservancy,67894833.2568571,6789.4833256857055
Say Nuth Khaw Yum Park [A.K.A. Indian Arm Park],66924122.3829905,6692.412238299051
Hesquiat Peninsula Park,65602066.5838113,6560.206658381134
Woss Lake Park,65267741.9255253,6526.774192552529
Mctaggart-Cowan/Nsek'Iniw'T Wildlife Management Area,64911791.9899589,6491.179198995893
Kts'Mkta'Ani/Union Lake Conservancy,63348639.8864798,6334.863988647982
East Redonda Island Ecological Reserve,61843076.2815617,6184.30762815617
Arrowstone Park,61553590.4778437,6155.359047784365
Tetrahedron Park,60535446.0141958,6053.544601419581
Golden Gate/Xaat Yadi Aani Conservancy,59850598.277064,5985.059827706401
Upper Adams River Park,58853040.2415545,5885.3040241554545
Heather-Dina Lakes Park,58228778.2699219,5822.877826992192
Coquihalla Summit Recreation Area,57587209.3772603,5758.720937726025
Muscovite Lakes Park,57115345.6186794,5711.534561867937
Dewdrop-Rosseau Wildlife Management Area,56855613.6060389,5685.5613606038905
Mount Minto/K'Iyan Conservancy,56607534.1158586,5660.753411585861
Ed Bird - Estella Lakes Park,55893079.9326521,5589.30799326521
Upper Raush Protected Area,55803913.0797919,5580.391307979192
Silver Star Park,55744029.5974234,5574.402959742341
Desolation Sound Marine Park,54264440.0032091,5426.444000320906
Tsaa Nuna Conservancy,53057094.9816182,5305.7094981618175
Tunkwa Park,51638740.4216827,5163.874042168273
Bearhole Lake Protected Area,50542276.5670862,5054.227656708622
Schoolhouse Lake Park,50511979.4579253,5051.197945792535
Clayton Falls Conservancy,50483428.7214866,5048.342872148657
Darkwoods,49394330.9193617,4939.4330919361655
Fraser River Park,49027441.4762404,4902.7441476240365
Qwalimak/Upper Birkenhead Conservancy,48910623.4895114,4891.062348951141
Sutherland River Protected Area,48350903.2903662,4835.090329036618
Liard River Corridor Protected Area,47944287.535675,4794.428753567499
Junction Sheep Range Park,47780472.7553684,4778.047275536838
Pa-Aat Conservancy,47710825.4833315,4771.0825483331455
Sikanni Chief Canyon Park,47102114.2998945,4710.211429989454
Syringa Park,45345383.6035048,4534.538360350479
Woodworth Lake Conservancy,44394241.0473929,4439.424104739295
Kennedy Island Conservancy,43849592.7357736,4384.959273577363
Taweel Park,43777718.194268,4377.771819426799
Brent Mountain Protected Area,43503692.4561228,4350.369245612275
Flat Lake Park,42749526.3842033,4274.952638420332
Broughton Archipelago Conservancy,40890955.7483004,4089.0955748300394
Duffey Lake Park,40503220.2570539,4050.3220257053918
Eskers Park,40471990.8754894,4047.1990875489428
Hoodoos,39303550.9228402,3930.355092284019
Nimpkish Lake Park,39228388.0455164,3922.838804551636
Flores Island Park,39177492.9900444,3917.749299004436
Mkwal'Ts Conservancy,38620329.3866659,3862.032938666594
White Lake Grasslands Protected Area,37448682.2720817,3744.8682272081683
Lockhart Creek Park,37344390.8350221,3734.4390835022127
Dewdney And Glide Islands Ecological Reserve,36986595.3560663,3698.6595356066264
Thinahtea North Protected Area,36748799.8938172,3674.8799893817186
Lower Tsitika River Park,36090718.9859334,3609.071898593342
Upper Rogers Kolii7 Conservancy,36038949.5094263,3603.894950942628
Dean River Corridor Conservancy,35651689.3716978,3565.1689371697844
Clayoquot Arm Park,35558850.6664663,3555.8850666466296
Mount Seymour Park,35517411.7401619,3551.7411740161897
Main Lake Park,35304579.778882,3530.457977888205
Kunxalas Conservancy,33529033.6558837,3352.903365588374
Ptarmigan Creek Park,33062382.5009128,3306.2382500912836
Pooley Conservancy,32659762.7550872,3265.976275508718
K'Waal Conservancy,32629703.7098584,3262.9703709858427
Kalamalka Lake Park,32181069.9181556,3218.106991815559
Purden Lake Park,32145680.259472,3214.5680259472015
Chasm Park,31477392.0252268,3147.7392025226823
Cariboo River Park,31457250.1231919,3145.7250123191902
Gulf Islands National Park Reserve Of Canada,31012233.0564821,3101.223305648208
Fintry Protected Area,30842961.123328,3084.2961123328027
Liard River West Corridor Park,29923133.8814132,2992.313388141316
Spipiyus Park,29823044.6836403,2982.3044683640323
Eleven Sisters Park,29179718.8108019,2917.9718810801924
Trepanier Park,28856364.4730226,2885.6364473022595
Cypress Park,28618796.0265683,2861.8796026568325
Greenbush Lake Protected Area,28185406.0933229,2818.540609332287
Gilnockie Park,28148656.6958927,2814.8656695892687
Inland Lake Park,27579100.1661167,2757.9100166116737
Ilgachuz Range Ecological Reserve,27465166.0079819,2746.5166007981943
Cultus Lake Park,27314502.8101509,2731.450281015093
Pitt-Addington Marsh Wildlife Management Area,27170557.2741036,2717.0557274103608
Porcupine Meadows Park,27165337.2463571,2716.533724635706
Goosegrass Creek Ecological Reserve,27005107.1513182,2700.5107151318207
Callaghan Lake Park,26961107.5071252,2696.1107507125153
Gingietl Creek Ecological Reserve,26902503.9860679,2690.250398606792
Klin-Se-Za Park,26707425.2482964,2670.742524829638
Troup Passage Conservancy,26186683.0811396,2618.6683081139563
Marble Canyon Park,25442504.4357063,2544.250443570628
Moose Valley Park,25001450.7988183,2500.145079881828
Yaaguun Gandlaay Conservancy,24997965.8836031,2499.796588360314
Ningunsaw River Ecological Reserve,23731355.1658191,2373.1355165819136
Burnie River Protected Area,23461866.948036,2346.1866948036045
Thunderbird'S Nest (T'Iitsk'In Paawats) Protected Area,23378733.9688835,2337.8733968883494
Enderby Cliffs Park,23292100.0103373,2329.2100010337304
Hay River Protected Area,23237978.6260845,2323.7978626084455
Palemin/Estero Basin Conservancy,23148807.2673912,2314.8807267391153
Nlhaxten/Cerise Creek Conservancy,22741322.0537865,2274.132205378649
Whiteswan Lake Park,22558394.2208492,2255.8394220849236
Sustut Protected Area,22429417.1311188,2242.941713111878
Sugarbowl-Grizzly Den Protected Area,22285455.9193985,2228.5455919398546
Penrose - Ripon Conservancy,22264752.8971128,2226.475289711284
Sikanni Chief River Ecological Reserve,21763292.4353817,2176.329243538167
Liumchen Ecological Reserve,21620144.8580683,2162.0144858068347
K'Uuna Gwaay Conservancy,21040042.8466275,2104.0042846627457
K'Zuzalt/Twin Two Conservancy,20969254.5993212,2096.925459932124
Omineca Protected Area,20698463.7015396,2069.8463701539554
Broughton Archipelago Park,20613100.7722091,2061.3100772209054
Mount Pope Park,20301311.8748278,2030.1311874827802
Roche Lake Park,20261426.3708892,2026.1426370889164
Nahatlatch Park,20173680.9768063,2017.3680976806256
Peace River Corridor Park,20145183.2216869,2014.518322168689
